bigg_id	smiles	mol_weight	xlogp	hbond_acceptor	hbond_donor	tpsa	ring_count	formal_charge
M03047		1104.1	5.5	22	9	389.0	0	0
M03014		223.22	-2.0	5	2	89.6	0	0
M03050		963.9	0.1	22	9	389.0	0	0
M03016		189.21	-2.6	5	2	89.6	0	0
M03051		214.34	4.7	2	1	37.3	0	0
M03018		145.16	-0.3	3	1	55.4	0	0
M03116		935.8	-1.0	22	9	389.0	0	0
M03153		394.7	10.8	2	1	37.3	0	0
M03117		186.29	3.7	2	1	37.3	0	0
M03134		102.13	1.4	2	1	37.3	0	0
M03005		189.21	-1.4	5	2	89.6	0	0
M03167		242.17	-7.6	8	5	156.0	0	0
M03131		168.62	0.0	4	4	89.3	0	0
Nacasp		175.14	-1.1	5	3	104.0	0	0
Nacsertn		218.25	0.5	2	3	65.1	0	0
N1aspmd		187.28	-0.8	3	3	67.2	0	0
Ser		105.09	-3.1	4	3	83.6	0	0
M03168		299.75	2.4	4	2	75.6	0	0
Sfglutth		335.34	-4.3	9	5	201.0	0	0
aacoa		851.6	-5.8	23	9	406.0	0	0
Tyr		181.19	-2.3	4	3	83.6	0	0
aact		73.09	-1.0	2	1	43.1	0	0
ac		59.04	0.4	2	0	40.1	0	0
acac		101.08	0.3	3	0	57.2	0	0
acald		44.05	-0.3	1	0	17.1	0	0
accoa		809.6	-5.6	22	9	389.0	0	0
acetone		58.08	-0.1	1	0	17.1	0	0
acgal		221.21	-1.7	6	5	119.0	0	0
acgal1p		301.19	-3.7	9	6	166.0	0	0
acetol		74.08	-0.7	2	1	37.3	0	0
acgam6p		301.19	-4.2	9	6	166.0	0	0
acgam		221.21	-1.7	6	5	119.0	0	0
acglu		189.17	-1.8	5	3	104.0	0	0
acgam1p		301.19	-3.7	9	6	166.0	0	0
acgly		117.1	-1.2	3	2	66.4	0	0
aclys		188.22	-4.4	4	3	92.4	0	0
acmanap		301.19	-4.2	9	6	166.0	0	0
acmpglu		327.29	-0.8	8	5	146.0	0	0
acmana		221.21	-1.7	6	5	119.0	0	0
acnam		309.27	-3.5	9	7	177.0	0	0
acnamp		389.25	-4.6	12	8	223.0	0	0
acmp		210.23	1.7	4	1	75.6	0	0
actyr		223.22	-0.2	4	3	86.6	0	0
acorn		174.2	-4.8	4	3	92.4	0	0
ade		135.13	-0.1	4	2	80.5	0	0
adn		267.24	-1.1	8	4	140.0	0	0
adpoh		162.14	-0.6	5	3	94.8	0	0
adprbp		639.3	-6.7	21	9	338.0	0	0
adp		427.2	-4.6	14	6	233.0	0	0
adrn		332.5	7.4	2	1	37.3	0	0
adrncrn		473.7	7.5	4	0	66.4	0	0
adrncoa		1082.0	1.9	22	9	389.0	0	0
agm		130.19	-1.5	2	3	90.4	0	0
ach		146.21	0.2	2	0	26.3	0	0
adrnl		183.2	-1.4	4	4	72.7	0	0
ahandrostan		290.4	3.7	2	1	37.3	0	0
ahdt		495.17	-6.5	16	9	292.0	0	0
